content,label
áo bao đẹp,1
tuyệt_vời,1
day ao khong giong,0
mùi thơm_bôi da_mềm da,1
vải đẹp dày dặn,1
hàng đẹp chi ưng_ý,1
chất_lượng sản_phẩm tốt date,1
ăn_nói thái_độ phục_vụ tốt,1
đóng_gói sản_phẩm chắc_chắn,1
tất_sờn ca vay r,0
shop phục_vụ tốt,1
chất vải chê,1
giao hàng nhanh,1
chất_lượng sản_phẩm tuyệt_vời,1
vải hơi thô_cứng giao hàng nhanh,1
chất_lượng sp đẹp nhe shop,1
tiền giao hàng nhanh,1
quần đẹp mặc vừa vặn,1
cảm_giác mua hàng hớ tệ,0
mua đi sửa,0
tiền giao hàng nhanh chất_lượng sản_phẩm tuyệt_vời,1
giá_cả chấp_nhận,1
nchung ổn,1
,1
mặc chất dày_dặn hài_lòng,1
chất vải tốt_hình siu_ciu í_shop nhiệt_tình,1
giao hàng nhanh,1
okz cảm_ơn shop,1
chất_lượng sản_phẩm tuyệt_vời ủng_hộ shop,1
chất_lượng sản_phẩm tạm vải hơi khô mỏng,1
hàng hóa lừa_đảo,0
giao hàng nhanh,1
ảnh in đẹp,1
giá rẻ,1
quần_áo super đẹp,1
giao hàng nt_shop phản_hồi,0
cảm_ơn shop,1
tuyệt_vời mua shopee freeship,1
tiếc mấy,1
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp chắc_chắn shop phục_vụ tốt giao hàng nhanh,1
đồng_hồ mua sử_dụg đc,0
chất mềm mịn mát,1
giao b im_re,0
sản phr ưng_ý,1
chất_lượng sản_phẩm tuyệt_vời,1
mua,1
ngực cuzng bitnhf mặc vừa đẩy vừa bầu ngực,0
quần đợt tận chất quần đợt,1
mua,1
quần đẹp vừa form,1
giao hàng nhanh,1
chất vải xấu xù,0
,1
giày nhem nhuốc ố bẩn box nát,0
số_lượng,1
áo y_hình chất_lượng sản_phẩm tuyệt_vời,1
ưng_ý chất_lượng,1
mật tủ_lạnh đóng sệt chai di_chuyển mật mua địa_phương,0
áo sờ_chất thích,1
váy đẹp mặc tôn da,1
xài hộp màu xanh thơm,1
giao hàng nhanh_hình,1
shop tặng bánh đôi tất_lười yêu,1
hàng chất_lượng tốt đi êm,1
chất_lượng sản_phẩm tuyệt_vời màu hình_minh,1
giao hàng tâm đấy,1
hàng tốt i hình,1
giao hàng chậm,0
đúng hàng đóng_gói chất_lượng sản_phẩm tốt,1
chất_lượng sản_phẩm tuyệt_vời ngon_bổ re shop a,1
màn_hình to hd,1
áo mỏng_cụt đóng_gói sản_phẩm tốt,0
quần kịp mặc bục đoạn,0
mua sp chất ảnh gói hàng đẹp giao hàng nhanh giá_cả hợp_lý,1
chất áo lăn tănnn form hơi to,1
shop quà tặng kèm thẻ_tích,1
mạng chạy chậm,0
vừa khít bụng hằn_cấn,1
mua,1
chất_lượng sản_phẩm tốt,1
ưng ý,1
hàng siêu_yêu siêu_mềm mịn,1
chất_liệu vải tốt giá,1
đóng_gói kĩ_áo đẹp,1
giao nhầm hàng ib shop_k trả_lời,0
màu bạc lấp_lánh màu hồng,1
chất áo dày dặn form áo đẹp,1
ống_quần to_nhỏ size s l,0
đóng_gói gọn_gàng đẹp_đẽ chất_lượng sản_phẩm tuyệt_vời tiền giao hàng nhanh,1
chất_lượng sản_phẩm tương_xứng giá tiền mua mặc kiểu tốt,1
chất_lượng sản_phẩm tuyệt_vời,1
,1
ren hơi mềm làm_dáng áo ko cứng nâng ngực tạm đc,1
giao hàng,0
sz khung ngực nhỏ,0
đóng_gói sản_phẩm đẹp chắc_chắn,1
hàng y_hình đẹp,1
thái_đô kém giao hàng chậm shop phục_vụ kém,0
bàn_tay mỏng nâng lắm,0
đẹp lắm đấy,1
áo hình chất vải hơi nóng,1
đóng gỏi cẩn_thận shop đong hộp cứng đỡ móp bẹp túi,0
đóng_gói sản_phẩm đẹp chắc chắc,1
giao hàng nhanh_dầy dặn đẹp,1
giống hình vải mỏng đúng hình_giá tiền tương_đương sản_phẩm,0
chủ shop tư_vấn nhiệt_tình đầm form đẹp hợp_dáng đc tặng kèm qà,1
váy đẹp chuẩn_hình,1
sz xanh hồng_ko,0
áo rẻ đẹp giá tiền,1
áo vải cực đẹp y_hình to mong_đợi,1
chất_lượng sản_phẩm tuyệt_vời,1
chất_lượng sản_phẩm tuyệt_vời đồ đẹp ủng_hộ shop tiếp,1
sản phản_mới chất_lượng sản_phẩm tuyệt_vời,1
giao hàng nhanh,1
ngon xé nhỏ khô,1
,1
chất ok á_rep ib hơi,1
ủng_hộ shop,1
âm_thanh dở,0
xấu phom áo chán đời,0
chất_lượng sản_phẩm tốt đồng_tiền,1
chuẩn quần vải đẹp ôm gọn chân vải mát,1
,1
áo cũ màu đẹp vãi mỏng đág tiền lắm,0
đập mắt mất_hứng sản_phẩm màu đậm_hình áo mùi thuốc tẩy_giặt mãi,0
chuẩn hàng bitis,1
màu đẹp hình chup,0
hàng đẹp giao nhanh,1
chất_lượng sản_phẩm tuyệt_vời vải tốt thích_hợp thích form rộng lắm nè,1
hợp giá,1
,0
giao hàng nhanh,1
gối hơi nhỏ,0
áo xinh_shop nói_chuyện cực_đáng yêu,1
mùi len_hơi giặt mùi,0
vải oke lắm,1
sản_phẩm tạm đóng_gói đẹp,0
shop hãm l thế_này,0
,1
tầm giá tot,1
,0
chất_lượng sản_phẩm tạm áo hơi ngắn_hình,0
sản_phẩm tôt giao hang nhanh,1
duong nao de che,0
chất vải tốt dày dặn,1
ưng,1
áo dep lam_shop ui rat thix,1
giao hàng nhanh,1
ưng hiii,1
giao,0
màu_sắc hình,0
áo vải xấu,0
mua mặc đi tốt tiền,1
shop nhiệt_tình giúp_đỡ chất_lượng quần_chê rộng vừa,1
đổi shop gửi ảnh gửi r im_lặng,0
,1
hàng kém chất_lượng quảng_cáo,0
shop phục_vụ tốt,1
thất_vọng,1
chất_lượng sản_phẩm tuyệt_vời,1
sờ chất quần tốt,1
vay đẹp kỹ_tu van nhiet_tinh,1
y_hình,1
nt trả_lời,0
chất_lượng vừa giá tiền,1
ủng_hộ shop,1
hàng chất_lượng giá sản_phẩm nhak,1
áo rách ntn mặc ntn,0
giá tiền mặc tốt,1
đồ mặc vừa thun hơi ôm dễ bụng,1
màu màu kia,0
hàng tương_đối ổn hài_lòng,1
inbox ko_thèm trả_lời,0
mua chai tàng_trữ dần vừa tẩy sạch vừa dễ mụn dầu_tẩy trang,1
uy_tín,0
màu ảnh chất_lượng tốt giá,1
ưng,1
shop giao hàng nhanh gửi đúng màu áo_hình mặc_dù chất vải đẹp mong_muốn shop,1
shop phục_vụ tốt giao hàng nhanh,1
giày đẹp lắm giao hàng mun điên,1
shop giao siêu nhanh,1
giao hàng nhanh,1
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp chắc_chắn tiền giao hàng tạm đồng_tiền,1
chất_lượng sản_phẩm tuyệt_vời,1
vừa,1
quần size l to bé giá tiền nvay mong chất đẹp,1
,1
cảm_ơn shop,1
chất_lượng sp tốt giao hàng chậm onl chẳng trả_lời,1
thun mỏng fai len,0
đóng_gói sản_phẩm đẹp chắc_chắn shop phục_vụ tốt,1
,1
shop giao hàng cực nhanh lun trưa hom trưa giao,1
tin_tưởng shoppe,1
áo vải đẹp mịn mát,1
chất_lượng sản_phẩm tuyệt_vời giao hàng nhanh,1
chủ shop nhiệt_tình,1
tiền,1
sản_phẩm đẹp,1
hơi thô,0
vãi mỏng,0
đẹp rẻ,1
chất_lượng sản_phẩm tuyệt_vời ưng ủng_hộ shop giao hàng nhanh,1
,1
ao mặc đẹp chất đẹp giao hàng nhanh,1
giao hàng nhanh áo đẹp hài_lòng,1
xanh đậm giao mảu xám thất_vọng màu củ xèm,0
đẹp chất_lượng sản_phẩm tạm,0
áo chất đẹp shop phục_vụ tốt,1
đóng_gói sản_phẩm chắc_chắn,1
hài_lòng sản_phẩm,1
chất_lượng sản_phẩm tuyệt_vời ưng_ý_đồ đẹp,1
shop lam_ăn uy_tín sảm_phẩm dỗm_chát chặn,0
hàng tốt,1
đúng hình_ảnh đẹp,1
